"","cont1","cont2","cont3","cont4","cont5","cont6","cont7","cont8","cont9","cont10","cont11","cont12","cont13","cont14"
"cont1",1,-0.0850482043886687,-0.445196725385073,0.373213669616243,-0.0284631673936407,0.756461626115519,0.361249927754173,0.362794249683422,0.928063906881438,0.807472659845912,0.590530781791558,0.609611042469467,0.544843166833857,0.0564059020559612
"cont2",-0.0850482043886687,1,0.453759079473016,0.0321232527531442,0.176285032145769,0.0204757621416983,0.0622620239872543,0.13614852960575,-0.0336623684789953,0.0644859532930374,0.125810233627506,0.114014380975893,0.0178395400704897,-0.0461780281003962
"cont3",-0.445196725385073,0.453759079473016,1,-0.349031274254616,0.0856502812740989,-0.345260824293121,0.103515603136198,-0.18962254250672,-0.420767108850627,-0.322451402095744,0.0261774962466229,0.00648534659353079,-0.423402979750754,-0.040729657751568
"cont4",0.373213669616243,0.0321232527531442,-0.349031274254616,1,0.160594238653464,0.218842096693789,-0.119922776773065,0.524957479055639,0.332938144926235,0.283661044726005,0.118924366502305,0.128907046903782,0.182646103558186,0.0184591595596248
"cont5",-0.0284631673936407,0.176285032145769,0.0856502812740989,0.160594238653464,1,-0.150558822416651,-0.251472663633531,0.00702970518334126,-0.0919489155834575,-0.0681198325923453,-0.159174550087742,-0.155408846101364,-0.081297141916409,-0.0140103068040141
"cont6",0.756461626115519,0.0204757621416983,-0.345260824293121,0.218842096693789,-0.150558822416651,1,0.662607476329806,0.43508013251021,0.793057661394755,0.882108514166237,0.773327195601258,0.78490112207806,0.816756611580334,0.0362279131956602
"cont7",0.361249927754173,0.0622620239872543,0.103515603136198,-0.119922776773065,-0.251472663633531,0.662607476329806,1,0.148340703184755,0.378462197380709,0.49345712876957,0.745523243182336,0.740446410677321,0.297363296326621,0.00811951580258881
"cont8",0.362794249683422,0.13614852960575,-0.18962254250672,0.524957479055639,0.00702970518334126,0.43508013251021,0.148340703184755,1,0.451739224237924,0.333144821427618,0.300240224226321,0.314291224236066,0.470647627657088,0.0460808612509022
"cont9",0.928063906881438,-0.0336623684789953,-0.420767108850627,0.332938144926235,-0.0919489155834575,0.793057661394755,0.378462197380709,0.451739224237924,1,0.780033007434385,0.602415087759778,0.622532064757464,0.642571927253568,0.0725675355388821
"cont10",0.807472659845912,0.0644859532930374,-0.322451402095744,0.283661044726005,-0.0681198325923453,0.882108514166237,0.49345712876957,0.333144821427618,0.780033007434385,1,0.704289387044422,0.715403333883453,0.713724330908251,0.039849778306041
"cont11",0.590530781791558,0.125810233627506,0.0261774962466229,0.118924366502305,-0.159174550087742,0.773327195601258,0.745523243182336,0.300240224226321,0.602415087759778,0.704289387044422,1,0.993783745560787,0.468359345611347,0.0389545419150935
"cont12",0.609611042469467,0.114014380975893,0.00648534659353079,0.128907046903782,-0.155408846101364,0.78490112207806,0.740446410677321,0.314291224236066,0.622532064757464,0.715403333883453,0.993783745560787,1,0.481047531462322,0.0427946994221475
"cont13",0.544843166833857,0.0178395400704897,-0.423402979750754,0.182646103558186,-0.081297141916409,0.816756611580334,0.297363296326621,0.470647627657088,0.642571927253568,0.713724330908251,0.468359345611347,0.481047531462322,1,0.0510871615562944
"cont14",0.0564059020559612,-0.0461780281003962,-0.040729657751568,0.0184591595596248,-0.0140103068040141,0.0362279131956602,0.00811951580258881,0.0460808612509022,0.0725675355388821,0.039849778306041,0.0389545419150935,0.0427946994221475,0.0510871615562944,1
